Church Name,County,Denomination,Location
Mt. Clair,Florence,Negro Baptist,Lake City
Ninevah,Florence,C.M.E.,
Lake Point,Florence,C.M.E.,
Beulah,Florence,A.M.E.,
John's Tabernacle,Florence,Apostolic Holiness,Lake City
Paran,Florence,S.B.C.,
Cook's Pent. Holiness Chapel,Florence,Pent. Holiness,
New Zion,Florence,S.B.C.,
Mt. Moriah,Florence,S.B.C.,Scranton
New Zion,Florence,Negro Baptist,
Shady Grove,Florence,Free Will Baptist (Negro),Scranton
Scranton,Florence,S.B.C.,Scranton
Hick's,Florence,Pent. Holiness,
Tabernacle,Florence,Free Will Baptist,Cowards
Matthews Pent. Holiness Tabernacle,Florence,Pent. Holiness,
Savannah Grove,Florence,African Free Will Baptist,
St. Mark,Florence,A.M.E.,
Believers Church,Florence,Pent. Holiness (Negro),
Lee's Pentecostal Holiness Tabernacle,Florence,Pentecostal Holiness,
Mt. Seale,Florence,S.B.C.,
St. Matthews,Florence,Free Will Baptist,
St. Peter's Union American (Negro),Florence,,
First Born of the Living God,Florence,Pent. Holiness (Negro),
Bethlehem,Florence,Negro Baptist,
High Hill,Florence,Free Will Baptist,
St. John,Florence,Free Will Baptist,
Stone Pentecostal Holiness Chapel,Florence,Pentecostal Holiness,
Jerusalem,Florence,Free Will Baptist (Negro),
St. John,Florence,M.E.S.,
Prospect,Florence,M.E.S.,
Liberty,Florence,S.B.C.,
Little Star,Florence,Free Will Baptist,
Brown's Chapel,Florence,M.E.S.,
Olanta Pent. Holiness Mission (Negro),Florence,Pent. Holiness,
West Church,Florence,Pent. Holiness (Negro),
St. Paul,Florence,A.M.E.,
St. Paul,Florence,Negro Baptist,
St. Mark,Florence,A.M.E.,
Sand Hill,Florence,Free Will Baptist,
True Light,Florence,,
Pamplico,Florence,M.E.S.,Pamplico
New Prospect,Florence,Free Will Baptist,
Beulah,Florence,Free Will Baptist,
Baxen's Pentecostal Holiness Chapel,Florence,Pentecostal Holiness,
Pamplico,Florence,Pent. Holiness (Negro),Pamplico
Jordan A.M.E. Chapel,Florence,A.M.E.,Pamplico
St. John,Florence,Negro Baptist,
Olive Grove,Florence,Negro Baptist,
Union,Florence,S.B.C.,
Salem,Florence,M.E.S.,Salem
Evergreen,Florence,S.B.C.,Evergreen
St. Luke,Florence,C.M.E.,
Ephesus,Florence,S.B.C.,
Prosser's Pent. Holiness Chapel,Florence,Pent. Holiness,
Heyward A.M.E. Chapel,Florence,A.M.E.,Poston
St. Mark,Florence,A.M.E.,
St. Matthews,Florence,Negro Baptist,Pamplico
Mt. Zion,Florence,S.B.C.,
Mt. Zion,Florence,Negro Baptist,Hyman
Aimwell,Florence,Negro Baptist,
House of Prayer-undenom.,Florence,,
Little Bethel,Florence,Free Will Baptist,
Lake City,Florence,Church of God,
Trinity,Florence,A.M.E.,Hyman
Bethany Pent. Holiness Church,Florence,Pent. Holiness,
Hebron,Florence,S.B.C.,
Bethsadia,Florence,Prot. Meth.,Effingham
Bethlehem,Florence,M.E.S.,
Trinity,Florence,M.E.S.,Kingsburg
Goodland,Florence,A.M.E.,
Elizabeth,Florence,Negro Baptist,
Piney Grove,Florence,A.M.E.,
St. Peter's Holiness-Believers' Holiness Church,Florence,Holiness,Florence
Community Pent. Holiness Chapel,Florence,Pent. Holiness,
Olanta,Florence,Presbyterian,Olanta
Olanta,Florence,M.E.S.,Olanta
Mt. Olive Pent. Holiness Church of God of America (Negro),Florence,,Florence
Timmonsville,Florence,Presbyterian,Timmonsville
Willow Creek,Florence,Prot. Methodist,
Bethel Original,Florence,Free Will Baptist,
Lake City,Florence,S.B.C.,
Mispah,Florence,S.B.C.,Mars Bluff Community
Nazareth,Florence,A.M.E.,Johnsonville
St. Beulah Holiness-Believers,Florence,Holiness,
White Chapel,Florence,Free Will Baptist (Negro),
Beulah,Florence,S.B.C.,Hyman
Effingham,Florence,Presbyterian,Effingham
New Hope,Florence,Free Will Baptist,
Johnsonville,Florence,S.B.C.,
Mt. Moriah,Florence,Free Will Baptist,
Old Johnsonville,Florence,M.E.S.,
Mt. Elim,Florence,Free Will Baptist,
New Prospect,Florence,M.E.S.,
Pamplico First,Florence,S.B.C.,Pamplico
Mill Branch,Florence,A.M.E.,
Bethel,Florence,A.M.E.,
Peniel,Florence,S.B.C.,
Mt. Zion,Florence,M.E. (Negro),Timmonsville
Zion Temple,Florence,Pent. Holiness,Timmonsville
Bethlehem,Florence,Baptist (Negro),Timmonsville
Mt. Zion,Florence,C.M.E.,
Bowers Chapel,Florence,C.M.E.,
Bethel,Florence,S.B.C.,
Scranton,Florence,Free Will Baptist,Scranton
Union Grove,Florence,Negro Baptist,
Welch A.M.E. Chapel,Florence,A.M.E.,Timmonsville
Ebernezer No. 2,Florence,Negro Baptist,
Timmonsville,Florence,S.B.C.,Timmonsville
Mt. Rouah,Florence,Negro Baptist,
Sardis,Florence,S.B.C.,
Jordan Chapel,Florence,Free Will Baptist (Negro),
Beth Israel,Florence,Jewish Congregation-Reform,Florence
Tabernacle,Florence,M.E.S.,
Friendship,Florence,M.E.S.,
Pisgah,Florence,M.E.S.,
Savannah Grove,Florence,Negro Baptist,
Liberty,Florence,M.E.S.,
Bay Branch,Florence,Free Will Baptist,
Timmonsville,Florence,M.E.S.,Timmonsville
Hopewell,Florence,Presbyterian,
Cartersville,Florence,S.B.C.,
Mt. Carmen,Florence,Northern Baptist Convention (Negro),
Pendleton Street,Greenville,S.B.C.,Greenville
Holmes Memorial,Greenville,Pent. Holiness,Greenville
Earle Street,Greenville,S.B.C.,Greenville
Triune,Greenville,M.E.S.,Greenville
First,Greenville,Church of Christ-Scientist Christian Science,Greenville
First,Greenville,Presbyterian,Greenville
Associate Reform Presbyterian,Greenville,Associate Reform Presbyterian,Greenville
Riverside,Greenville,S.B.C.,Greenville
Augusta Road,Greenville,S.B.C.,Greenville
Rock Creek,Greenville,Negro Baptist,
Popular Spring,Greenville,Negro Baptist,Simpsonville
St. James Memorial,Greenville,Prot. Epis.,Greenville
Buncombe Street,Greenville,M.E.S.,Greenville
Third,Greenville,Presbyterian,Greenville
Central,Greenville,S.B.C.,Greenville
Trinity,Greenville,Lutheran,Greenville
Greenville First,Greenville,S.B.C.,Greenville
Christ Church,Greenville,Prot. Epis.,Greenville
St. Andrews,Greenville,Prot. Epis.,Greenville
Bethel,Greenville,M.E.S.,Greenville
Morgan Memorial,Greenville,S.B.C.,Greenville
Fourth,Greenville,Presbyterian,Greenville
Poe Mill,Greenville,S.B.C.,Greenville
Poe Mill,Greenville,M.E.S.,Greenville
Brandou,Greenville,M.E.S.,Greenville
St. Paul,Greenville,M.E.S.,Greenville
Mongahan,Greenville,Baptist S.B.C.,Greenville
Woodside,Greenville,M.E.S.,Greenville
Monaghan,Greenville,M.E.S.,Greenville
St. Mary's,Greenville,Catholic,Greenville
Choice Street,Greenville,M.E.S.,Greenville
Mills Mill,Greenville,M.E.S.,Greenville
Dunean,Greenville,M.E.S.,Greenville
Judson,Greenville,M.E.S.,Greenville
St. George,Greenville,Greek Orthodox,Greenville
First,Greenville,Church of Christ (Disciples of Christ)-Non-denom.,Greenville
Dunean,Greenville,S.B.C.,Greenville
Judson,Greenville,S.B.C.,Greenville
Poinsette,Greenville,S.B.C.,Greenville
West Greenville,Greenville,S.B.C.,Greenville
Monaghan,Greenville,Presbyterian,Greenville
Beth Israel,Greenville,Synagogue-Orthodox,Greenville
Union Bleachery,Greenville,S.B.C.,Greenville
St. John,Greenville,M.E.S.,Greenville
Washington Avenue,Greenville,S.B.C.,Greenville
Welcome,Greenville,S.B.C.,Greenville
Park Place,Greenville,S.B.C.,Greenville
Woodside,Greenville,Baptist,Greenville
Temple of Israel,Greenville,Orthodox,Greenville
Sans Souci S.B.C. Greenville,Greenville,,
Emmanuel,Greenville,S.B.C.,Greenville
Franklin,Greenville,S.B.C.,Greenville
Church of Good-General Assembly,Greenville,,Greenville
Calvary,Greenville,S.B.C.,Greenville
St. Marks M.E. Church,Greenville,M.E.,Greenville
Connie Maxwell Orphanage,Greenwood,S.B.C.,Greenwood
Bradley,Greenwood,A.R.P.,Bradley
Pine Grove,Greenwood,A.M.E.,
Main Street,Greenwood,M.E.S.,Greenwood
Lowell Street,Greenwood,M.E.S.,Greenwood
South Greenwood,Greenwood,M.E.S.,Greenwood
Galloway Memorial,Greenwood,M.E.S.,Greenwood
First Christian Church,Greenwood,Disciples of Christ,Greenwood
Our Lady of Lourdes,Greenwood,Roman Catholic,Greenwood
Rock Church,Greenwood,Presbyterian,
Greenwood,Greenwood,A.R.P.,Greenwood
Greenwood First,Greenwood,Presbyterian,Greenwood
Lockhart,Greenwood,Negro Baptist,
Immanuel,Greenwood,Evang. Lutheran S.B.C.,Greenwood
Greenwood First,Greenwood,S.B.C.,Greenwood
West Side Greenwood,Greenwood,S.B.C.,Greenwood
Greenwood South Main Street S.B.C. Greenwood,Greenwood,,
Church of Resurrection,Greenwood,Prot. Epis.,Greenwood
Bethlehem,Greenwood,M.E.S.,Coronaca
As మరియుM.E.S.,Greenwood,,Verdery
Ninety-Six,Greenwood,Presbyterian,Ninety Six
Coronaca,Greenwood,S.B.C.,Coronaca
Siloam,Greenwood,S.B.C.,
Bradley,Greenwood,S.B.C.,Bradley
Kinards,Greenwood,M.E.S.,
St. Pauls,Greenwood,M.E.S.,Ninety Six
Cedar Springs,Greenwood,A.R.P.,
Mt. Zion,Greenwood,A.M.E.,
Cross Road,Greenwood,Negro Baptist,
St. Paul,Greenwood,A.M.E.,Cokesbury
Mt. Sinai,Greenwood,,
Friendship,Greenwood,Negro Baptist,
White Oak,Greenwood,Negro Baptist,Cokesbury
Bethlehem,Greenwood,Negro Baptist,Ninety Six
Big Mt. Zion,Greenwood,Negro Baptist,
Macedonia,Greenwood,C.M.E.,
Dunham Temple,Greenwood,C.M.E.,Greenwood
Marshall Negro Baptist Chapel,Greenwood,Negro Baptist,
Mt. Zion,Greenwood,Negro Baptist,
Trinity,Greenwood,M.E.,Greenwood
Cedar Grove,Greenwood,A.M.E.,Bradley
Troy,Greenwood,A.R.P.,Troy
Duke Street,Greenwood,S.B.C.,Ninety Six
Horeb,Greenwood,S.B.C.,
Troy,Greenwood,S.B.C.,
Greenville,Greenwood,Presbyterian,
Walnut Grove,Greenwood,S.B.C.,
Hodges,Greenwood,Presbyterian,Hodges
St. James,Greenwood,Prot. Epis.,Ninety Six
Church of God,Greenwood,Church of God,Ware Shoals
Friendship,Greenwood,Pent. Holiness,
Mt. Lebanon,Greenwood,M.E.S.,
Epworth Tabernacle,Greenwood,M.E.S.,Epworth
Ware Shoals,Greenwood,M.E.S.,Ware Shoals
Troy,Greenwood,M.E.S.,Troy
Ninety Six First,Greenwood,S.B.C.,Ninety Six
Hodges,Greenwood,S.B.C.,Hodges
Donalds Creek,Greenwood,Negro Baptist,
Mulberry,Greenwood,Negro Baptist,
Friendship,Greenwood,A.M.E.,Troy
Second,Greenwood,Negro Baptist,Troy
New China,Greenwood,Negro Baptist,Troy
Piney Grove,Greenwood,A.M.E.,
Enoree,Greenwood,Negro Baptist,
Mt. Pisgah,Greenwood,A.M.E.,Greenwood
Tabernacle,Greenwood,Negro Baptist,Greenwood
Hodges,Greenwood,M.E.S.,Hodges
Mountain Creek,Greenwood,S.B.C.,
Fellowship,Greenwood,S.B.C.,
Mt. Moriah,Greenwood,S.B.C.,
Memorial,Greenwood,Presbyterian,Ware Shoals
Bethel,Greenwood,M.E.S.,
Pent. Holiness,Greenwood,Pent. Holiness,Ninety Six
Cambridge,Greenwood,M.E.S.,Ninety Six
Salem,Greenwood,M.E.S.,Godsey
Tranquil,Greenwood,M.E.S.,
Rehoboth,Greenwood,M.E.S.,
Turkey Creek,Greenwood,S.B.C.,
Bold Spring,Greenwood,S.B.C.,
Ware Shoals,Greenwood,S.B.C.,Ware Shoals
Trinity,Greenwood,M.E. (Negro),Ninety Six
Wesley Chapel,Greenwood,M.E. (Negro),
Allen A.M.E. Chapel,Greenwood,A.M.E.,
Weston A.M.E. Chapel,Greenwood,A.M.E.,Greenwood
Mt. Pleasant,Greenwood,A.M.E.,Ninety Six
Young's Negro Baptist Chapel,Greenwood,Negro Baptist,
Mt. Pisgah,Greenwood,Negro Baptist,
Antioch,Greenwood,Negro Baptist,
Mt. Olive,Greenwood,Negro Baptist,
Damascus,Greenwood,Negro Baptist,
Flint Hill,Greenwood,Negro Baptist,
Morris Negro Baptist Chapel,Greenwood,Negro Baptist,Greenwood
Mt. Moriah,Greenwood,Negro Baptist,
Damascus,Greenwood,S.B.C.,
Old Cokesbury,Greenwood,M.E.S.,Cokesbury
Second Thankful,Hampton,Negro Baptist,
New Castle,Hampton,Negro Baptist,
Steep Bottom,Hampton,S.B.C.,
St. Marks,Hampton,A.M.E.,Shirley
Cypress,Hampton,S.B.C.,
St. John's,Hampton,M.E.S.,Garnett
Sand Hill,Hampton,Baptist,M.E.S.
Harmony,Hampton,Presbyterian,Crockerville
Sandy Drain,Hampton,Prim. Baptist,
Mt. Carmel,Hampton,M.E.S.,
Mill Creek,Hampton,Primitive Baptist,
Sanders Branch,Hampton,Primitive Baptist,
Deep Branch,Hampton,S.B.C.,
St. Paul,Hampton,Negro Baptist,
Jackson Branch,Hampton,Negro Baptist,
Shady Grove,Hampton,Negro Baptist,
Cedar Grove,Hampton,Disciples of Christ,
First,Hampton,African Baptist,
Jones Chapel,Hampton,C.M.E.,
Pilgrim's Ford,Hampton,Negro Baptist,Yemassee
Cherry Grove,Hampton,Disciples of Christ,
Heavenly Rest,Hampton,Prot. Epis,
Estill,Hampton,Presbyterian,Estill
Estill,Hampton,M.E.S.,Estill
Miley Community-undenom.,Hampton,,Miley
Brunson,Hampton,Christian-Disciples of Christ,Brunson
Spring Hill,Hampton,Negro Baptist,
Mt. Zion,Hampton,Negro Baptist,
Second,Hampton,Negro Baptist,Brunson
St. Paul's,Hampton,Primitive Baptist,
Bethlehem,Hampton,Negro Baptist,Early Branch
Zion Fair,Hampton,Negro Baptist,
Scotia,Hampton,S.B.C.,Scotia
St. John's,Hampton,A.M.E.,Brunson
Brunson,Hampton,M.E.S.,Brunson
Martin Temple,Hampton,C.M.E.,Estill
Varnville,Hampton,Christian-Disciples of Christ,Varnville
Faith Chapel,Hampton,Prot. Epis.,Estill
Hampton,Hampton,S.B.C.,Hampton
Prospect,Hampton,United Evang. Lutheran,Early Branch
Varnville,Hampton,M.E.S.,Varnville
Luray Christian Church,Hampton,Disciples of Christ,Luray
Black Creek,Hampton,Primitive Baptist,
Mt. Olive,Hampton,Negro Baptist,
Varnville,Hampton,S.B.C.,Varnville
Nixville,Hampton,S.B.C.,
Brunson,Hampton,S.B.C.,Brunson
Hopewell,Hampton,S.B.C.,
Prince William,Hampton,Primitive Baptist,
Samaritan,Hampton,Negro Baptist,Varnville
Bethlehem,Hampton,Negro Baptist,
Huspah,Hampton,Negro Baptist,
Hampton,Hampton,M.E.S.,Hampton
Furman,Hampton,M.E.S.,Furman
Mt. Zion,Hampton,A.M.E.,
Brunson C.M.E. Chapel,Hampton,C.M.E.,Brunson
St. Peter's,Hampton,A.M.E.,Estill
Lawtonville,Hampton,S.B.C.,Estill
Blount C.M.E. Chapel,Hampton,C.M.E.,Varnville
Stafford,Hampton,S.B.C.,
Furman,Hampton,S.B.C.,Furman
St. John's,Hampton,Negro Baptist,
Sinai,Hampton,Negro Baptist,
First Estill,Hampton,Negro Baptist,Estill
Ridgeville,Hampton,S.B.C.,
Antioch Christian Church,Hampton,Disciples of Christ,
Harmonia,Hampton,Negro Baptist,
Black Swamp,Hampton,M.E.S.,
Wilkerson,Hampton,Negro Baptist,
Jerusalem,Hampton,Negro Baptist,Early Branch
Stoney Creek,Hampton,Independent Presbyterian,McPhersonville
Hickory Grove,Hampton,S.B.C.,
Whippy Swamp,Hampton,Primitive Baptist,
Sandy Run,Hampton,Baptist,
St. Luke or Blake,Hampton,A.M.E.,Blake Plantation
Eferson,Hampton,Negro Baptist,
Lovewell,Hampton,Negro Baptist,
Sweet Rose,Hampton,Negro Baptist,
Union,Hampton,Negro Baptist,Valentine
Thompson A.M.E. Chapel,Hampton,A.M.E.,
Long Branch,Hampton,Negro Baptist,
Emanuel,Hampton,R.M.U.E.,
Macedonia,Hampton,Negro Baptist,
St. Peter's,Hampton,A.M.E.,
Wish Well,Hampton,Negro Baptist,Gifford
Annie Laurie,Hampton,Negro Baptist,
St. Luke,Hampton,Negro Baptist,
Sand Hill,Hampton,Negro Baptist,
King's Branch,Hampton,Negro Baptist,
Happy Home,Hampton,Negro Baptist,Scotia
Mt. Pleasant,Hampton,A.M.E.,
Hopewell,Hampton,C.M.E.,
Good Hope,Hampton,Negro Baptist,
Mt. Zion,Hampton,Negro Baptist,
Old Thankful,Hampton,Negro Baptist,
Kenyon,Hampton,Negro Baptist,
Ebernezer,Hampton,A.M.E.,
New Hope,Hampton,Negro Baptist,
Gaines Hill,Hampton,Negro Baptist,
Good Will,Hampton,Negro Baptist,
Second Point Savannah,Hampton,Negro Baptist,
Silver Hill,Hampton,Negro Baptist,
Browning,Hampton,Disciples of Christ,
Early Branch,Hampton,M.E.S.,Early Branch
Beach Branch,Hampton,(Coosawhatchie) S.B.C.,
Robertsville,Hampton,Baptist,
House of Prayer for All,Hampton,,
Red Oak,Horry,S.B.C.,
Good Hope,Horry,S.B.C.,
Beulah,Horry,S.B.C.,Daisy
Mt. Leon,Horry,S.B.C.,Hammond
Pleasant Hill,Horry,S.B.C.,Hammond
Simpson Creek,Horry,Prim. Baptist,Daisy
Buck Creek,Horry,S.B.C.,Longs
Ebernezer,Horry,M.E.S.,Longs
Pleasant Plains,Horry,S.B.C.,Brookville
Mt. Ararot,Horry,S.B.C.,Ocean Drive
Salem,Horry,S.B.C.,Cook Springs
Cedar Creek,Horry,M.E.S.,Little River
Cool Springs,Horry,M.E.S.,Cool Springs
First,Horry,S.B.C.,Myrtle Beach
Aynor,Horry,M.E.S.,Aynor
Pleasant Meadow,Horry,S.B.C.,Green Sea
Collins,Horry,S.B.C.,Burgess
White Oak Bay,Horry,S.B.C.,Conway
Berea,Horry,S.B.C.,Cool Springs
Juniper Bay,Horry,S.B.C.,
Cane Branch,Horry,S.B.C.,Allsbrook
Sweet Water Branch,Horry,S.B.C.,Savannah Bluff
Pee Dee,Horry,Prim. Bapt,
Green Sea,Horry,S.B.C.,Green Sea
Hickory Grove,Horry,S.B.C.,
Bayboro,Horry,S.B.C.,Bayboro
New Light,Horry,S.B.C.,Gurley
Pine Grove,Horry,S.B.C.,Conway
Galivant's Ferry,Horry,S.B.C.,Galivants Ferry
New Yome No. 2,Horry,S.B.C.,Galivants Ferry
Cedar Grove,Horry,S.B.C.,Cedar Grove
Conway First,Horry,S.B.C.,Conway
Pee Dee,Horry,S.B.C.,Pawley Swamp
Ridgefield,Horry,S.B.C.,Conway
Grace S.B.C. Chapel,Horry,S.B.C.,Bucksport
Antioch,Horry,Church of Christ S.B.C.,Galivants Ferry
Maple,Horry,S.B.C.,
Pleasant Hill,Horry,Prim. Baptist,Myrtle Beach
Oakie Swamp,Horry,S.B.C.,
Mt. Ariel,Horry,Freewill Baptist,Homewood
Aynor,Horry,S.B.C.,Aynor
Red Hill,Horry,M.E.S.,Galivants Ferry
Conway,Horry,M.E.S.,Conway
Antioch,Horry,M.E.S.,
Willow Springs,Horry,M.E.S.,
Mineral Springs,Horry,M.E.S.,
Centenary,Horry,M.E.S.,Savannah Bluff
El Bethel,Horry,M.E.S.,
Union,Horry,M.E.S.,Toddville
Brown's Swamp,Horry,,
Minutes of Waccamaw Circuit 1836-1855,Horry,,
First,Horry,Presbyterian,Myrtle Beach
Waccamaw,Horry,Presbyterian,
Skippers Chapel,Horry,Undenom.,Juniper Bay
Pentecostal Holiness,Horry,Pentecostal Holiness,Conway
Bayboro,Horry,Presbyterian,Bayboro
Loris,Horry,Presbyterian,Loris
Greenwood,Horry,S.B.C.,Conway
Union Valley,Horry,S.B.C.,Wampee
Bethlehem,Horry,S.B.C.,Shell
Carolina,Horry,S.B.C.,Green Sea
Tilley Swamp,Horry,S.B.C.,Tilley Swamp
Sharon,Horry,S.B.C.,Hand
United,Horry,S.B.C.,Hand
Socastee,Horry,M.E.S.,Socastee
Zoan S.B.C.O.,Horry,,Lake Swamp
Durants,Horry,M.E.S.,Hickory Grove
Loris,Horry,S.B.C.,Loris
Loris,Horry,M.E.S.,Loris
Cherry Hill,Horry,S.B.C.,Daisy
Macedonia,Horry,S.B.C.,
Free Light-Ind.,Horry,Mis. Baptist,Daisy
New Home No. 1,Horry,S.B.C.,Allsbrook
Sweet Home,Horry,S.B.C.,Longs
Sandy Plains,Horry,M.E.S.,Galivants Ferry
Rehobeth,Horry,M.E.S.,Galivants Ferry
Rehobeth,Horry,S.B.C.,Aynor
Mt. Hermon,Horry,S.B.C.,Aynor
Jordanville,Horry,M.E.S.,Jordanville
High Point,Horry,S.B.C.,Jordanville
Pisgah,Horry,M.E.S.,Aynor
Kingston,Horry,Presbyterian,Conway
Mitchell,Horry,Mis.Bap. (Negro),Green Sea
St. Elizabeth,Horry,Mis. Bap.,Aynor
New Hope,Horry,A.M.E.,Bayboro
Chesterfield,Horry,Mis. Bap. (Negro),Wampee
St. John,Horry,Free Will Bap. (Negro),Aynor
St. Joseph No. 2,Horry,Mis. Baptist,Wampee
Pent. Holiness (Negro),Horry,Pent. Holiness (Negro),Bucksport
Free Vine,Horry,Negro Baptist,Conway
St. John's,Horry,Pent. Holiness (Negro),Conway
Mt. Zion,Horry,Holiness (Negro),Conway
Savannah Bluff,Horry,Pentecostal Holiness (Negro),Savannah Bluff
Salem,Horry,A.M.E. Zion,Bucksport
Bethel,Horry,A.M.E.,Conway
St. James,Horry,A.M.E.,Conway
Mt. Zion,Horry,A.M.E.,Wampee
Poplar,Horry,A.M.E.,Wampee
Iona,Horry,M.E.S.,
Mt. Zion,Horry,A.M.E.,
St. John,Horry,A.M.E.,Chestnut Cross Roads
Ebenezer,Horry,A.M.E.,Toddville
St. James,Horry,A.M.E.,Free Woods
Browns Chapel,Horry,A.M.E. Zion,Bucksville
Cherry Hill-Carey Lott,Horry,Mis. Baptist,Conway
Mt. Pisgah,Horry,Baptist,Conway
Jerusalem,Horry,Negro Mis. Baptist,Bucksport
Bethlehem,Horry,Mis.Baptist,Conway
Mt. Moriah,Horry,Mis. Baptist,Bucksport
Salem,Horry,Mis.Baptist,"""Free Woods"""
St. Peter,Horry,Mis. Baptist (Negro),"""Free Woods"""
Mt. Olive,Horry,Mis. Baptist (Negro),Bayboro
Doctor's Chapel,Horry,Free Will Baptist (Negro),Conway
St. Paul's,Horry,Mis. Bap. (Negro),Conway
Hemingway Chapel,Horry,A.M.E.,Conway
Sandy Grove,Horry,Mis. Baptist (Negro),Myrtle Beach
Mt. Olive,Horry,A.M.E.,Myrtle Beach
St. Paul,Horry,A.M.E.,Little River
St. Peter's,Horry,A.M.E.,Cool Springs
St. Matthew's,Horry,Mis. Baptist (Negro),Cool Springs
Mc-Neal Chapel,Horry,Mis. Bap. (Negro),Allsbrook
Little Lamb,Horry,Free Will Baptist,"""Caw Ford"""
Hill's Chapel,Horry,Mis. Bap. (Negro),Cedar Creek
Hickory Grove,Horry,Mis. Bap. (Negro),Cedar Creek
Oak Grove,Horry,S.B.C.,Fair Bluff
Spring Branch,Horry,S.B.C.,Fair Bluff
Floyds,Horry,M.E.S.,Floyds
Wannamaker,Horry,S.B.C.,Duford Cross Roads
Mt. Olive,Horry,S.B.C.,Mt. Olive
Bakers Chapel,Horry,S.B.C.,Conway
New Hope,Horry,Independent Baptist,Conway
Wampee,Horry,M.E.S.,Wampee
Browns Chapel,Horry,Baptist,Conway
Little River,Horry,M.E.S.,Little River
Homewood,Horry,M.E.S.,Conway
Salem,Horry,M.E.S.,Conway
Cedar Creek,Horry,S.B.C.,Nichols
Pleasant View,Horry,S.B.C.,Green Sea
Hebron,Horry,M.E.S.,
Zion,Horry,Ch. M.E.S.,Galivants Ferry
Poplar,Horry,M.E.S.,Maple
Church of Jesus Christ of Latter Day Saints-Mormon,Jasper,Church of Jesus Christ of Latter Day Saints-Mormon,Ridgeland
Ridgeland,Jasper,S. B.C.,Ridgeland
Lovely Hill,Jasper,Negro Baptist,Ridgeland
Pine Level,Jasper,S.B.C.,
Black Swamp,Jasper,S. B.C.,Robertville
Camden,Kershaw,S.B.C.,Camden
Our Lady of Perpetual Help,Kershaw,Roman Catholic,Camden
Lyttleton Street,Kershaw,M. E. S.,Camden
Trinity,Kershaw,Methodist (Negro),Camden
Second Presbyterian (Negro) Camden,Kershaw,,
Bethesda,Kershaw,Presbyterian,Camden
Mt. Moriah,Kershaw,Negro Baptist,Camden
Grace,Kershaw,Protestant Episcopal-Prot. Epis.,Camden
Kershaw,Kershaw,M.E.S.,Kershaw
Kershaw First,Kershaw,S. B.C.,Kershaw
Church of God-Holiness,Kershaw,Church of God-Holiness,Camden
Union,Kershaw,S.B.C.,
Harmony,Kershaw,S.B.C.,
Good Aim,Kershaw,Negro Baptist,
Shady Grove,Kershaw,A. M. E.,
Blaney,Kershaw,S. B. C.,
Spring Vale,Kershaw,S. B.C.,
Ebernezer,Kershaw,M.E.S.,
Shiloh,Kershaw,M.E. (Negro),
Mt. Joshua,Kershaw,M.E. (Negro),
Beulah,Kershaw,M. E.S.,
Concord,Kershaw,S. B. C.,
St. Matthews,Kershaw,M.E. (Negro),
Hermitage,Kershaw,S.B.C.,
Antioch,Kershaw,S. B. C.,
Temple Bethel-Hebrew Benevolent Society,Kershaw,,Camden
Bethlehem,Kershaw,Negro Baptist,Lugoff
Gum Springs,Kershaw,Negro Baptist,
Pentecostal Holiness,Kershaw,Pentecostal Holiness,Camden
Chapel Church,Kershaw,Prot. Epis.,Camden
Emanuel,Kershaw,M. E. (Negro),Camden
Belmont,Kershaw,Negro Baptist,Westville
Unity,Kershaw,Negro Baptist,Kershaw
Bingham Chapel,Kershaw,A.M. E.,Westville
Sardis,Kershaw,Negro Baptist,Camden
Edward's Chapel,Kershaw,A.M.E. Zion,Camden
Betheny,Kershaw,(Old Hickory Head) Baptist S.B.C.,Westville
Rowan,Kershaw,Presbyterian,Lugoff
Kershaw,Kershaw,Presbyterian,Kershaw
Liberty Hill,Kershaw,Presbyterian,
Swift Creek,Kershaw,S. B.C.,Boykin
Tabernacle,Kershaw,Negro Baptist,
Second,Kershaw,Presbyterian (Negro),Liberty Hill
First,Kershaw,Baptist (New Light) (Negro),Liberty Hill
Mt. Olivet,Kershaw,S.B.C.,
Mt. Prospect,Kershaw,M.E.,
Clinton,Kershaw,A.M. E. Zion,Kershaw
Macedonia,Kershaw,Negro Baptist,
St. Stephen,Kershaw,Negro Baptist,
Mt. Zion,Kershaw,Neg. Baptist,
Broom Hill,Kershaw,(Green Hill) Negro Baptist,
Mt. Pilgrim,Kershaw,Negro Baptist,
Nazareth,Kershaw,Negro Baptist,
Mt. Zion,Kershaw,Negro Baptist,Camden
Wesley Chapel,Kershaw,M.E.,
Bethune,Kershaw,S.B.C.,Bethune
Pine Tree,Kershaw,Presbyterian,Cassatt
Hanging Rock,Kershaw,M.E.S.,
Wateree,Kershaw,S.B.C.,Wateree Mill Village
St. Paul,Kershaw,M. E.,
Red Hill,Kershaw,Negro Baptist,
Sandy Level,Kershaw,Negro Baptist,Bethune
Cassatt,Kershaw,S.B.C.,
Refuge,Kershaw,S.B.C.,
Beaver Creek,Kershaw,Presbyterian,
Abney,Kershaw,S.B.C.,
Sweet Home,Kershaw,Negro Baptist,
Kershaw Second,Kershaw,S.B.C.,
Kershaw First,Kershaw,Negro Baptist,Kershaw
Ephesus First,Kershaw,Baptist (Negro),
Smyrna,Kershaw,M. E.,
Zion Hill,Kershaw,,DeKalb
